,screen_name,id,name,created_at,description,location,protected,profile_image_url,followers_count,following_count,tweet_count,listed_count,url,verified
0,GovEvers,234896532,Governor Tony Evers,2011-01-06T21:05:10.000Z,"Husband to Kathy, lifelong educator, Euchre and bobblehead enthusiast, and 46th Governor of the State of Wisconsin.","Madison, Wisconsin",False,https://pbs.twimg.com/profile_images/1361681110955098113/4O5J0V8K_normal.jpg,102548,246,7950,899,https://t.co/JyH2JWfeyt,True
1,katiehobbs,26659619,Katie Hobbs,2009-03-26T01:55:21.000Z,"Social worker, mom, wife, Arizona’s Secretary of State. Running for Governor of Arizona.","Phoenix, AZ",False,https://pbs.twimg.com/profile_images/1524498550016593921/6gVtXrLT_normal.jpg,134116,1576,10011,864,https://t.co/otdUvzR8kj,True
2,LauraKellyKS,364864453,Laura Kelly,2011-08-30T13:39:23.000Z,"48th Governor of Kansas, Wife, Mother, Champion for Kids.","Topeka, KS",False,https://pbs.twimg.com/profile_images/1541475702586986496/vvNlVu7j_normal.jpg,54907,553,2778,390,https://t.co/ErZXA4bB3F,True
3,CentroNSR,957722624,Centro NSR,2012-11-19T16:03:53.000Z,"Twitter del Centro Ap. NSR, perteneciente al Movimiento de Vida Cristiana",Jr. los Pinos 291 - Camacho,False,https://pbs.twimg.com/profile_images/2870183026/b2ce80eefae7e78a89c6dffb52d78fa3_normal.jpeg,324,42,1237,0,http://t.co/rEGFnaDF,False
4,staceyabrams,216065430,Stacey Abrams,2010-11-15T18:12:10.000Z,Democratic Nominee for Governor of Georgia. Small Business Owner. Tax Attorney. Nonprofit Founder. Bestselling Author. Join @TeamAbrams now.,Georgia,False,https://pbs.twimg.com/profile_images/1503392475267973120/hdofBB20_normal.jpg,2915946,1928,15383,8786,https://t.co/KB1rUwIaan,True
5,JoshShapiroPA,24209167,Josh Shapiro,2009-03-13T17:20:48.000Z,Attorney General. Dad to 4 kids. Married to my high school sweetheart. Running to be the next Governor of Pennsylvania — text 32210 to join us.,"Pennsylvania, USA",False,https://pbs.twimg.com/profile_images/1515768099047460864/IWW2rXe__normal.jpg,275619,3447,21056,1300,https://t.co/fvOlvUzx5E,True
6,CharlieCrist,38970940,Charlie Crist,2009-05-10T01:42:17.000Z,Former Governor and proud @FloridaState alum. Running for Governor to build a Florida for all. Text CHARLIE to 54238 📱,"St. Petersburg, Florida",False,https://pbs.twimg.com/profile_images/1551679634655379458/ox6XoGVL_normal.jpg,255799,670,8800,1597,https://t.co/PISeHGtiv6,True
7,BetoORourke,342863309,Beto O'Rourke,2011-07-26T18:05:52.000Z,I’m running for governor to serve ALL the people of Texas.,"El Paso, TX",False,https://pbs.twimg.com/profile_images/1177725147878477825/Znz9ndSl_normal.jpg,2592199,1646,13250,7797,https://t.co/Dz2B5OUIxb,True
8,GovDanMcKee,158238919,Governor Dan McKee,2010-06-22T04:14:20.000Z,"Little Rhody’s Governor. Accelerating RI’s momentum: #1 vaccinated state, leading the nation for economic recovery, lowest unemployment rate in history.","Cumberland, RI",False,https://pbs.twimg.com/profile_images/1573306789877235715/xkA7eldB_normal.jpg,16514,1652,5081,220,https://t.co/HbFwJzwRAm,True
9,PolisForCO,600422073,Jared Polis,2012-06-05T19:10:00.000Z,Dad and husband. @Rockies fan. Gaymer. Colorado Governor. — text JARED to 30411 to join.,"Denver, CO",False,https://pbs.twimg.com/profile_images/1486758511102939138/F43K96D3_normal.jpg,24090,792,2886,236,https://t.co/T7tMFvGEPB,True
10,JBPritzker,45550693,JB Pritzker,2009-06-08T12:06:44.000Z,"Husband, Father, Entrepreneur @1871Chicago, Governor.

Fighting for a stronger, fairer, and safer Illinois. Text JB to 80467","Chicago, IL",False,https://pbs.twimg.com/profile_images/1417196924491509765/zjXVLTBz_normal.jpg,133706,1878,9415,1082,https://t.co/LNz3RAurlz,True
11,Gara_4_Governor,106773922,Les Gara,2010-01-20T17:09:08.000Z,"Married Up. Running for Governor because you deserve a brighter future. https://t.co/5MMPWIu7AN. Paid for by Alaskans For Les Gara, POB 200415, Anchorage AK 99520.","Anchorage, AK",False,https://pbs.twimg.com/profile_images/1483341979312279554/Qcsr8hwR_normal.jpg,7462,4093,7276,163,https://t.co/bfHGmEJxoV,True
12,DeidreDeJear,36231074,Deidre DeJear,2009-04-29T00:41:59.000Z,"Voter, Wife, Foodie, Iowan, Small Business Owner, and Democratic Nominee for Governor of Iowa. Endorsed by @DMRegister Editorial Board. 🧱 🗳 🧱 🗳","Des Moines, IA",False,https://pbs.twimg.com/profile_images/1542877952894967812/dQOHyBVx_normal.jpg,41940,1205,4121,210,https://t.co/aTub87Milu,True
13,nanwhaley,40296465,Nan Whaley,2009-05-15T18:09:47.000Z,"Running for Governor with @CherylforOhio because Ohio deserves better. Former Mayor of Dayton. Pro-worker, Pro-choice, Pro-Ohio.","Dayton, Ohio",False,https://pbs.twimg.com/profile_images/1554837976672137216/EWjjKH0I_normal.jpg,77333,884,11208,449,https://t.co/qzTADgUP1M,True
14,GavinNewsom,11347122,Gavin Newsom,2007-12-19T19:53:42.000Z,Husband to @JenSiebelNewsom and father. 40th Governor of California. Former Lt. Governor of California. Former San Francisco Mayor. Personal account.,California,False,https://pbs.twimg.com/profile_images/1405191782984413184/AJ3ar-ad_normal.jpg,2062501,22244,15789,9605,https://t.co/SFMon1p3ZY,True
15,RepGeoffDiehl,110573669,Geoff Diehl,2010-02-02T01:17:21.000Z,"Proud Father, Lucky Husband, Eagle Scout & Former State Rep., 2018 US Senate MA nominee.
2022 Candidate for MA Governor.
Rush fan.","Whitman, MA",False,https://pbs.twimg.com/profile_images/954146343462821889/rF2NzTNA_normal.jpg,11204,3443,8251,157,https://t.co/9mMXJK3HQ5,True
16,DukeAiona2022,64614474,Duke Aiona,2009-08-11T03:38:32.000Z,Duke Aiona for Governor #higov #dukeaiona2022 #AionaTupai2022,Hawai‘i,False,https://pbs.twimg.com/profile_images/1565154073695100928/KgM9noaC_normal.jpg,3797,4071,1964,177,https://t.co/y8jwmHxRKV,True
17,jasonbmartin,17622662,"Jason B. Martin, MD",2008-11-25T16:08:44.000Z,Democratic nominee for Tennessee Governor. Father. Husband. Critical Care Physician. Advocate for All Tennesseans. #TNthrives,"Nashville, Tennessee",False,https://pbs.twimg.com/profile_images/1431471296148299780/hRs_UpkU_normal.jpg,18167,694,2562,84,https://t.co/Qfhg8bo5Hr,True
18,GovPhilScott,545107258,Governor Phil Scott,2012-04-04T12:57:09.000Z,"82nd Governor of Vermont | Working to grow the economy, make Vermont more affordable and protect the most vulnerable | https://t.co/KUIt8kVUnY",Vermont,False,https://pbs.twimg.com/profile_images/1569778551146135558/uh-sIMAI_normal.jpg,37712,506,4437,588,https://t.co/lvRoGippss,True
19,GovEvers,234896532,Governor Tony Evers,2011-01-06T21:05:10.000Z,"Husband to Kathy, lifelong educator, Euchre and bobblehead enthusiast, and 46th Governor of the State of Wisconsin.","Madison, Wisconsin",False,https://pbs.twimg.com/profile_images/1361681110955098113/4O5J0V8K_normal.jpg,102548,246,7950,899,https://t.co/JyH2JWfeyt,True
20,katiehobbs,26659619,Katie Hobbs,2009-03-26T01:55:21.000Z,"Social worker, mom, wife, Arizona’s Secretary of State. Running for Governor of Arizona.","Phoenix, AZ",False,https://pbs.twimg.com/profile_images/1524498550016593921/6gVtXrLT_normal.jpg,134117,1576,10011,864,https://t.co/otdUvzR8kj,True
21,LauraKellyKS,364864453,Laura Kelly,2011-08-30T13:39:23.000Z,"48th Governor of Kansas, Wife, Mother, Champion for Kids.","Topeka, KS",False,https://pbs.twimg.com/profile_images/1541475702586986496/vvNlVu7j_normal.jpg,54907,553,2778,390,https://t.co/ErZXA4bB3F,True
22,CentroNSR,957722624,Centro NSR,2012-11-19T16:03:53.000Z,"Twitter del Centro Ap. NSR, perteneciente al Movimiento de Vida Cristiana",Jr. los Pinos 291 - Camacho,False,https://pbs.twimg.com/profile_images/2870183026/b2ce80eefae7e78a89c6dffb52d78fa3_normal.jpeg,324,42,1237,0,http://t.co/rEGFnaDF,False
23,staceyabrams,216065430,Stacey Abrams,2010-11-15T18:12:10.000Z,Democratic Nominee for Governor of Georgia. Small Business Owner. Tax Attorney. Nonprofit Founder. Bestselling Author. Join @TeamAbrams now.,Georgia,False,https://pbs.twimg.com/profile_images/1503392475267973120/hdofBB20_normal.jpg,2915948,1928,15383,8786,https://t.co/KB1rUwIaan,True
24,JoshShapiroPA,24209167,Josh Shapiro,2009-03-13T17:20:48.000Z,Attorney General. Dad to 4 kids. Married to my high school sweetheart. Running to be the next Governor of Pennsylvania — text 32210 to join us.,"Pennsylvania, USA",False,https://pbs.twimg.com/profile_images/1515768099047460864/IWW2rXe__normal.jpg,275622,3447,21056,1300,https://t.co/fvOlvUzx5E,True
25,CharlieCrist,38970940,Charlie Crist,2009-05-10T01:42:17.000Z,Former Governor and proud @FloridaState alum. Running for Governor to build a Florida for all. Text CHARLIE to 54238 📱,"St. Petersburg, Florida",False,https://pbs.twimg.com/profile_images/1551679634655379458/ox6XoGVL_normal.jpg,255800,670,8800,1597,https://t.co/PISeHGtiv6,True
26,BetoORourke,342863309,Beto O'Rourke,2011-07-26T18:05:52.000Z,I’m running for governor to serve ALL the people of Texas.,"El Paso, TX",False,https://pbs.twimg.com/profile_images/1177725147878477825/Znz9ndSl_normal.jpg,2592200,1646,13250,7797,https://t.co/Dz2B5OUIxb,True
27,GovDanMcKee,158238919,Governor Dan McKee,2010-06-22T04:14:20.000Z,"Little Rhody’s Governor. Accelerating RI’s momentum: #1 vaccinated state, leading the nation for economic recovery, lowest unemployment rate in history.","Cumberland, RI",False,https://pbs.twimg.com/profile_images/1573306789877235715/xkA7eldB_normal.jpg,16514,1652,5081,220,https://t.co/HbFwJzwRAm,True
28,PolisForCO,600422073,Jared Polis,2012-06-05T19:10:00.000Z,Dad and husband. @Rockies fan. Gaymer. Colorado Governor. — text JARED to 30411 to join.,"Denver, CO",False,https://pbs.twimg.com/profile_images/1486758511102939138/F43K96D3_normal.jpg,24090,792,2886,236,https://t.co/T7tMFvGEPB,True
